-1,*Missing*,-1,*,-1,-1,*Missing*,*Missing*,*Missing*,*Missing*,*Missing*,-1
0,*Unknown at this time*,0,*,0,0,*Unknown at this time*,*Unknown at this time*,*Unknown at this time*,*Unknown at this time*,*Unknown at this time*,0
528,(528) Upstate New York HCS,2,Y,NULL,4,Eastern Standard Time,ALN,1,North Atlantic, Albany,57
503,"(503) Altoona, PA",4,Y,NULL,4,Eastern Standard Time,ALT,1,North Atlantic, Altoona,97
506,"(506) Ann Arbor, MI",10,Y,NULL,3,Eastern Standard Time,ANN,3,Midwest, Ann Arbor,226
637,"(637) Asheville, NC",6,Y,NULL,3,Eastern Standard Time,ASH,1,North Atlantic, Ashville,307
508,"(508) Atlanta, GA",7,Y,NULL,3,Eastern Standard Time,ATG,2,Southeast, Decatur,415
509,"(509) Augusta, GA",7,Y,NULL,3,Eastern Standard Time,AUG,2,Southeast, Augusta,501
635,"(635) Oklahoma City, OK",19,Y,NULL,2,Central Standard Time,OKL,4,Continental, Oklahoma City,583
636,(636) Central Plains HCS (Omaha NE),23,Y,NULL,2,Central Standard Time,OMA,3,MidWest, Omaha,682
671,(671) South Texas HCS (San Antonio TX),17,Y,NULL,2,Central Standard Time,STX,4,Continental, San Antonio,750
667,"(667) Shreveport, LA",16,Y,NULL,2,Central Standard Time,SHR,4,Continental, Shreveport,828
438,(438) Sioux Falls SD (CACHE 5.0),23,Y,NULL,2,Central Standard Time,SUX,3,MidWest, Sioux Falls,920
656,"(656) St. Cloud, MN (CACHE 5.0)",23,Y,NULL,2,Central Standard Time,STC,3,MidWest, St Cloud,1020
620,"(620) Hudson Valley HCS (Castle Point, Montrose)",2,Y,NULL,4,Eastern Standard Time,HVH,1,North Atlantic, Castle Point,1143
608,"(608) Manchester, NH",1,Y,NULL,4,Eastern Standard Time,MAN,1,North Atlantic, Manchester,1230
650,"(650) Providence, RI",1,Y,NULL,4,Eastern Standard Time,PRO,1,North Atlantic, Providence,1270
689,(689) Connecticut HCS (Westhaven),1,Y,NULL,4,Eastern Standard Time,CON,1,North Atlantic, Newington,1419
405,(405) White River Junction VT,1,Y,NULL,4,Eastern Standard Time,WRJ,1,North Atlantic, White River Junction,1462
512,(512) Maryland HCS (Baltimore MD),5,Y,NULL,4,Eastern Standard Time,BAL,1,North Atlantic, Baltimore,1617
515,"(515) Battle Creek, MI",10,Y,NULL,3,Eastern Standard Time,BAC,3,Midwest, Battle Creek,1697
516,"(516) Bay Pines,FL",8,Y,NULL,3,Eastern Standard Time,BAY,2,Southeast, Bay Pines,1792
517,"(517) Beckley, WV",5,Y,NULL,3,Eastern Standard Time,BEC,1,North Atlantic, Beckley,1836
518,"(518) Bedford,MA",1,Y,NULL,4,Eastern Standard Time,BED,1,North Atlantic, Bedford,1947
523,(523) Boston HCS (Boston),1,Y,NULL,4,Eastern Standard Time,BHS,1,North Atlantic, Brockton,2038
646,(646) Pittsburgh HCS (Pittsburgh PA),4,Y,NULL,4,Eastern Standard Time,PTH,1,North Atlantic, Pittsburgh,2111
652,"(652) Richmond, VA",6,Y,NULL,3,Eastern Standard Time,RIC,1,North Atlantic, Richmond,2188
655,"(655) Saginaw, MI",10,Y,NULL,3,Eastern Standard Time,SAG,3,Midwest, Saginaw,2304
502,"(502) Alexandria, LA",16,Y,NULL,2,Central Standard Time,ALX,4,Continental, Pineville,2410
504,(504) Amarillo HCS (Amarillo TX),17,Y,NULL,1,Central Standard Time,AMA,4,Continental, Amarillo,2468
519,(519) West Texas HCS (Big Spring TX),17,Y,NULL,1,Central Standard Time,BIG,4,Continental, Big Spring,2578
657,(657) VA Heartland East (Saint Louis MO),15,Y,NULL,2,Central Standard Time,STL,3,Midwest, St Louis,2656
626,(626) Tennessee Valley HCS (Nashville TN),9,Y,NULL,3,Central Standard Time,TVH,2,Southeast, Nashville,2726
