Sta3n,smallint,no,2,"5    ","0    ",no,(n/a),(n/a),NULL
Facility,varchar,no,50,"     ","     ",yes,no,yes,SQL_Latin1_General_CP1_CI_AS
VISN,smallint,no,2,"5    ","0    ",yes,(n/a),(n/a),NULL
Active,char,no,1,"     ","     ",yes,no,yes,SQL_Latin1_General_CP1_CI_AS
NextSta3n,int,no,4,"10   ","0    ",yes,(n/a),(n/a),NULL
Region,smallint,no,2,"5    ","0    ",yes,(n/a),(n/a),NULL
TimeZone,varchar,no,100,"     ","     ",yes,no,yes,SQL_Latin1_General_CP1_CI_AS
SiteCode,varchar,no,100,"     ","     ",yes,no,yes,SQL_Latin1_General_CP1_CI_AS
DistrictNumber,varchar,no,100,"     ","     ",yes,no,yes,SQL_Latin1_General_CP1_CI_AS
DistrictName,varchar,no,100,"     ","     ",yes,no,yes,SQL_Latin1_General_CP1_CI_AS
City,varchar,no,100,"     ","     ",yes,no,yes,SQL_Latin1_General_CP1_CI_AS
StateSID,int,no,4,"10   ","0    ",yes,(n/a),(n/a),NULL
