Sta3n,Sta3nName,VISNPreFY15,VISNFY16,VISNFY17,Active,NextSta3n,TimeZone,SiteCode,RegionFY15,DistrictNameFY16,DistrictNumberFY16,DistrictNameFY17,DistrictNumberFY17,City,StateSID
-1,*Missing*,-1,-1,-1,*,-1,*Missing*,*Missing*,-1,*Missing*,*Missing*,*Missing*,*Missing*,*Missing*,-1
0,*Unknown at this time*,0,0,0,*,0,*Unknown at this time*,*Unknown at this time*,0,*Unknown at this time*,*Unknown at this time*,*Unknown at this time*,*Unknown at this time*,*Unknown at this time*,0
528,(528) Upstate New York HCS,2,2,2,Y,NULL,Eastern Standard Time,ALN,4,North Atlantic,1,North Atlantic,1," Albany",57
503,"(503) Altoona, PA",4,4,4,Y,NULL,Eastern Standard Time,ALT,4,North Atlantic,1,North Atlantic,1," Altoona",97
506,"(506) Ann Arbor, MI",11,10,10,Y,NULL,Eastern Standard Time,ANN,3,Midwest,3,Midwest,3," Ann Arbor",226
637,"(637) Asheville, NC",6,6,6,Y,NULL,Eastern Standard Time,ASH,3,North Atlantic,1,North Atlantic,1," Ashville",307
508,"(508) Atlanta, GA",7,7,7,Y,NULL,Eastern Standard Time,ATG,3,Southeast,2,Southeast,2," Decatur",415
509,"(509) Augusta, GA",7,7,7,Y,NULL,Eastern Standard Time,AUG,3,Southeast,2,Southeast,2," Augusta",501
635,"(635) Oklahoma City, OK",16,19,19,Y,NULL,Central Standard Time,OKL,2,Continental,4,Continental,4," Oklahoma City",583
636,(636) Central Plains HCS (Omaha NE),23,23,23,Y,NULL,Central Standard Time,OMA,2,MidWest,3,MidWest,3," Omaha",682
671,(671) South Texas HCS (San Antonio TX),17,17,17,Y,NULL,Central Standard Time,STX,2,Continental,4,Continental,4," San Antonio",750
667,"(667) Shreveport, LA",16,16,16,Y,NULL,Central Standard Time,SHR,2,Continental,4,Continental,4," Shreveport",828
438,(438) Sioux Falls SD (CACHE 5.0),23,23,23,Y,NULL,Central Standard Time,SUX,2,MidWest,3,MidWest,3," Sioux Falls",920
656,"(656) St. Cloud, MN (CACHE 5.0)",23,23,23,Y,NULL,Central Standard Time,STC,2,MidWest,3,MidWest,3," St Cloud",1020
620,"(620) Hudson Valley HCS (Castle Point, Montrose)",3,2,2,Y,NULL,Eastern Standard Time,HVH,4,North Atlantic,1,North Atlantic,1," Castle Point",1143
608,"(608) Manchester, NH",1,1,1,Y,NULL,Eastern Standard Time,MAN,4,North Atlantic,1,North Atlantic,1," Manchester",1230
650,"(650) Providence, RI",1,1,1,Y,NULL,Eastern Standard Time,PRO,4,North Atlantic,1,North Atlantic,1," Providence",1270
689,(689) Connecticut HCS (Westhaven),1,1,1,Y,NULL,Eastern Standard Time,CON,4,North Atlantic,1,North Atlantic,1," Newington",1419
405,(405) White River Junction VT,1,1,1,Y,NULL,Eastern Standard Time,WRJ,4,North Atlantic,1,North Atlantic,1," White River Junction",1462
512,(512) Maryland HCS (Baltimore MD),5,5,5,Y,NULL,Eastern Standard Time,BAL,4,North Atlantic,1,North Atlantic,1," Baltimore",1617
515,"(515) Battle Creek, MI",11,10,10,Y,NULL,Eastern Standard Time,BAC,3,Midwest,3,Midwest,3," Battle Creek",1697
516,"(516) Bay Pines,FL",8,8,8,Y,NULL,Eastern Standard Time,BAY,3,Southeast,2,Southeast,2," Bay Pines",1792
517,"(517) Beckley, WV",6,5,5,Y,NULL,Eastern Standard Time,BEC,3,North Atlantic,1,North Atlantic,1," Beckley",1836
518,"(518) Bedford,MA",1,1,1,Y,NULL,Eastern Standard Time,BED,4,North Atlantic,1,North Atlantic,1," Bedford",1947
523,(523) Boston HCS (Boston),1,1,1,Y,NULL,Eastern Standard Time,BHS,4,North Atlantic,1,North Atlantic,1," Brockton",2038
646,(646) Pittsburgh HCS (Pittsburgh PA),4,4,4,Y,NULL,Eastern Standard Time,PTH,4,North Atlantic,1,North Atlantic,1," Pittsburgh",2111
652,"(652) Richmond, VA",6,6,6,Y,NULL,Eastern Standard Time,RIC,3,North Atlantic,1,North Atlantic,1," Richmond",2188
655,"(655) Saginaw, MI",11,10,10,Y,NULL,Eastern Standard Time,SAG,3,Midwest,3,Midwest,3," Saginaw",2304
502,"(502) Alexandria, LA",16,16,16,Y,NULL,Central Standard Time,ALX,2,Continental,4,Continental,4," Pineville",2410
