STATE and COUTNY List                                                                                   FEB 11, 2025@14:34   PAGE 1
                                              VA                                                   VA
                                              STATE                                                COUNTY
NAME                            ABBREVIATION  CODE   COUNTY                          ABBREVIATION  CODE
------------------------------------------------------------------------------------------------------------------------------------

ALABAMA                         AL            01     MOBILE                                        097
                                                     AUTAUGA                                       001
                                                     BALDWIN                                       003
                                                     BARBOUR                                       005
                                                     BIBB                                          007
                                                     BLOUNT                                        009
                                                     BULLOCK                                       011
                                                     BUTLER                                        013
                                                     CALHOUN                                       015
                                                     CHAMBERS                                      017
                                                     CHEROKEE                                      019
                                                     CHILTON                                       021
                                                     CHOCTAW                                       023
                                                     CLARKE                                        025
                                                     CLAY                                          027
                                                     CLEBURNE                                      029
                                                     COFFEE                                        031
                                                     COLBERT                                       033
                                                     CONECUH                                       035
                                                     COOSA                                         037
                                                     COVINGTON                                     039
                                                     CRENSHAW                                      041
                                                     CULLMAN                                       043
                                                     DALE                                          045
                                                     DALLAS                                        047
                                                     DEKALB                                        049
                                                     ELMORE                                        051
                                                     ESCAMBIA                                      053
                                                     ETOWAH                                        055
                                                     FAYETTE                                       057
                                                     FRANKLIN                                      059
                                                     GENEVA                                        061
                                                     GREENE                                        063
                                                     HALE                                          065
                                                     HENRY                                         067
                                                     HOUSTON                                       069
                                                     JACKSON                                       071
                                                     JEFFERSON                                     073
                                                     LAMAR                                         075
                                                     LAUDERDALE                                    077
                                                     LAWRENCE                                      079
                                                     LEE                                           081
                                                     LIMESTONE                                     083
                                                     LOWNDES                                       085
                                                     MACON                                         087
                                                     MADISON                                       089
                                                     MARENGO                                       091
                                                     MARION                                        093
                                                     MARSHALL                                      095
                                                     MONROE                                        099
                                                     MONTGOMERY                                    101
                                                     MORGAN                                        103
                                                     PERRY                                         105
                                                     PICKENS                                       107
                                                     PIKE                                          109
                                                     RANDOLPH                                      111
                                                     RUSSELL                                       113
                                                     ST. CLAIR                                     115
                                                     SHELBY                                        117
                                                     SUMTER                                        119
                                                     TALLADEGA                                     121
                                                     TALLAPOOSA                                    123
                                                     TUSCALOOSA                                    125
                                                     WALKER                                        127
                                                     WASHINGTON                                    129
                                                     WILCOX                                        131
                                                     WINSTON                                       133
ALASKA                          AK            02     ALEUTIANS WEST (CA)                           016
                                                     ANCHORAGE                                     020
                                                     SKAGWAY HOONAH ANGOON                         232
                                                     NORTH SLOPE                                   185
                                                     BETHEL (CA)                                   050
                                                     BRISTOL BAY                                   060
                                                     VALDEZ-CORDOVA (CA)                           261
                                                     FAIRBANKS NORTH STAR                          090
                                                     HAINES                                        100
                                                     JUNEAU                                        110
                                                     KENAI PENINSULA                               122
                                                     KETCHIKAN GATEWAY                             130
                                                     NORTHWEST ARCTIC                              188
                                                     KODIAK ISLAND                                 150
                                                     MATANUSKA-SUSITNA                             170
                                                     NOME (CA)                                     180
                                                     PRINCE WALES KETCHIKAN                        201
                                                     SITKA                                         220
                                                     SOUTHEAST FAIRBANKS (CA)                      240
                                                     YUKON-KOYUKUK (CA)                            290
                                                     WADE HAMPTON (CA)                             270
                                                     WRANGELL-PETERSBURG (CA)                      280
                                                     ALEUTIANS EAST                                013
                                                     LAKE AND PENINSULA                            164
                                                     DILLINGHAM (CA)                               070
                                                     NOT SPECIFIED                                 999
                                                     DENALI                                        068
                                                     YAKUTAT                                       282
                                                     SKAGWAY YAKUTAT ANGO                          231
ALBERTA                         AB            58     ALBERTA                                       260
AMERICAN SAMOA                  AS            60     EASTERN (DISTRICT)                            010
                                                     MANU'A (DISTRICT)                             020
                                                     ROSE ISLAND                                   030
                                                     SWAINS ISLAND                                 040
                                                     WESTERN (DISTRICT)                            050
                                                     ALL OTHER                       AS            999
ARIZONA                         AZ            04     NAVAJO                                        017
                                                     PINAL                                         021
                                                     APACHE                                        001
                                                     COCHISE                                       003
                                                     COCONINO                                      005
                                                     GILA                                          007
                                                     GRAHAM                                        009
                                                     GREENLEE                                      011
                                                     MARICOPA                                      013
                                                     MOHAVE                                        015
                                                     PIMA                                          019
                                                     SANTA CRUZ                                    023
                                                     YAVAPAI                                       025
                                                     YUMA                                          027
